taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.3422705755127879,0.2948536448359374,0.9928648555262817,computed
Culicidae,0.3422705755127879,0.2948536448359374,0.9928648555262817,computed
Anophelinae,0.30334752589640024,0.279764239728196,0.9654791929382094,computed
None,0.30334752589640024,0.279764239728196,0.9654791929382094,computed
Anopheles,0.18011217909450286,0.1415254003379839,0.9640421052631579,computed
AnophelesAnopheles,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (not monophyletic)
AnophelesBaimaia,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (unsampled)
AnophelesCellia,0.5718462955373222,0.5416522946292675,0.9211956521739131,computed
AnophelesChristya,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (unsampled)
AnophelesKerteszia,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (crown capture probability)
AnophelesLophopodomyia,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (crown capture probability)
AnophelesNyssorhynchus,0.11852592437692841,0.035560121179128185,0.8176638176638177,computed
AnophelesStethomyia,0.18011217909450286,0.1415254003379839,0.0,from Anopheles (crown capture probability)
Bironella,0.30334752589640024,0.279764239728196,0.0,from None (unsampled)
BironellaBironella,0.30334752589640024,0.279764239728196,0.0,from Bironella (unsampled)
BironellaBrugella,0.30334752589640024,0.279764239728196,0.0,from Bironella (unsampled)
BironellaNeobironella,0.30334752589640024,0.279764239728196,0.0,from Bironella (unsampled)
Chagasia,0.30334752589640024,0.279764239728196,0.5,from None (crown capture probability)
ChagasiaChagasia,0.30334752589640024,0.279764239728196,0.5,from Chagasia (crown capture probability)
Culicinae,0.30483223239681734,0.2438159789963053,0.9910752237811343,computed
Aedeomyiini,0.30483223239681734,0.2438159789963053,0.4444444444444444,from Culicinae (crown capture probability)
Aedeomyia,0.30483223239681734,0.2438159789963053,0.4444444444444444,from Aedeomyiini (crown capture probability)
AedeomyiaAedeomyia,0.30483223239681734,0.2438159789963053,0.4666666666666667,from Aedeomyia (crown capture probability)
AedeomyiaLepiothauma,0.30483223239681734,0.2438159789963053,0.0,from Aedeomyia (unsampled)
Aedini,0.15333852098761366,0.0557394707119037,0.9853063021076071,computed
Aedes,0.15333852098761366,0.0557394707119037,0.0,from Aedini (not monophyletic)
AedesAbraedes,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesAcartomyia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesAedes,0.15333852098761366,0.0557394707119037,0.0,from Aedes (crown capture probability)
AedesAedimorphus,0.15333852098761366,0.0557394707119037,0.0,from Aedes (not monophyletic)
AedesAlanstonea,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesAlbuginosus,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesAyurakitia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesAztecaedes,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesBelkinius,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesBifidistylus,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesBorichinda,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesBothaella,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesBruceharrisonius,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesCancraedes,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesCatageiomyia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (crown capture probability)
AedesCatatassomyia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesChristophersiomyia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
AedesCoetzeemyia,0.15333852098761366,0.0557394707119037,0.0,from Aedes (unsampled)
