node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings

AnophelesAnopheles,185,,,False,False,,,,,
AnophelesBaimaia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AnophelesCellia,225,22,225,True,True,0.5184515291822586,1.0000000282819324,0.48934345981710153,1.0000000272819323,
AnophelesChristya,2,0,2,False,True,,0.5418276979832308,,0.0,
AnophelesKerteszia,12,1,12,True,True,0.001000000001,0.13410149868001683,1.0000000010000002e-12,0.13410056141330137,
AnophelesLophopodomyia,6,1,6,True,True,0.001000000001,0.0868636000738,1.0000000010000002e-12,0.0,
AnophelesNyssorhynchus,40,8,40,True,True,0.09315637412142212,0.10837062655484238,0.007549867585696832,0.015034797888193273,
AnophelesStethomyia,5,1,5,True,True,0.001000000001,0.24507939899167652,1.0000000010000002e-12,0.0,
Bironella,8,0,8,False,True,,1.0000000282819324,,1.0000000272819323,
BironellaBironella,2,0,2,False,True,,0.4410995571219002,,0.0,
BironellaBrugella,3,0,3,False,True,,0.3951026603051175,,0.0,
BironellaNeobironella,3,0,3,False,True,,1.2415006184838977,,0.0,
Chagasia,5,2,5,True,True,0.02529653923073038,0.16340545765168193,0.0,0.16340496055145382,
ChagasiaChagasia,5,2,5,True,True,0.02529653923073038,0.16340545765168193,0.0,0.16340496055145382,
Culicinae,3074,208,3074,True,True,0.31650749156972946,0.4117733432696231,0.2589474044229961,0.3586161081637734,
Aedeomyiini,7,2,7,True,True,0.02081214539225031,0.05447438985128741,0.0,0.0544726496365522,
Aedeomyia,7,2,7,True,True,0.02081214539225031,0.05447438985128741,0.0,0.0544726496365522,
AedeomyiaAedeomyia,6,2,6,True,True,0.018629203596890853,0.1040190816218868,0.0,0.1040182434995372,
AedeomyiaLepiothauma,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Aedini,1257,122,1257,True,True,0.1632593725418691,0.3006770862039272,0.071633678334176,0.2229054258000987,
__TAXONOMIC_ROOT__,3563,259,3563,True,True,0.35404089569747826,0.18732073094711205,0.3096833302964832,0.11215938111969323,
Culicidae,3563,259,3563,True,True,0.35404089569747826,0.18732073094711205,0.3096833302964832,0.11215938111969323,
Anophelinae,489,51,489,True,True,0.3267271104550249,1.0000000282819324,0.3069198983149194,1.0000000272819323,
None,489,51,489,True,True,0.3267271104550249,1.0000000282819324,0.3069198983149194,1.0000000272819323,
Anopheles,476,49,476,True,True,0.31883616638506135,0.559211110528644,0.292293004154851,0.5418983861140726,
Aedes,932,,,False,False,,,,,
AedesAbraedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesAcartomyia,3,0,3,False,True,,0.12928303878409764,,0.0,
AedesAedes,12,1,12,True,True,0.001000000001,0.09946663519699202,1.0000000010000002e-12,0.048734701448992356,
AedesAedimorphus,66,,,False,False,,,,,
AedesAlanstonea,2,0,2,False,True,,0.12024712266841718,,0.0,
AedesAlbuginosus,9,0,9,False,True,,1.0000000282819324,,1.0000000272819323,
AedesAyurakitia,2,0,2,False,True,,0.12428644351364353,,0.0,
AedesAztecaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBelkinius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBifidistylus,2,0,2,False,True,,0.5748224878991438,,0.0,
AedesBorichinda,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBothaella,6,0,6,False,True,,0.33562363657236827,,0.2933590070605981,
AedesBruceharrisonius,9,0,9,False,True,,0.15780870846355471,,0.0,
AedesCancraedes,10,0,10,False,True,,0.08170387246017617,,0.07720765211618413,
AedesCatageiomyia,28,1,28,True,True,0.001000000001,0.1426404061427401,1.0000000010000002e-12,0.004213122117135249,
AedesCatatassomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesChristophersiomyia,5,0,5,False,True,,0.28488980871738384,,0.28084890089920567,
AedesCoetzeemyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesCollessius,9,0,9,False,True,,0.2413540777726107,,0.07985849118393329,
AedesCornetius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesDahliana,3,1,3,True,True,0.001000000001,0.23165990679110324,1.0000000010000002e-12,0.0,
AedesDanielsia,3,0,3,False,True,,0.19197861762301566,,0.0,
AedesDendroskusea,5,0,5,False,True,,1.3153549547672194,,0.7930803954737677,
AedesDiceromyia,8,2,8,True,True,0.08796041826824388,0.11997490650540249,0.0,0.0,
AedesDobrotworskyius,7,5,7,True,True,0.08417849136347792,0.07565411606998962,0.0,0.0,
AedesDownsiomyia,30,0,30,False,True,,0.5789498900405229,,0.42083037014594754,
AedesEdwardsaedes,3,0,3,False,True,,0.11786245992141138,,0.0,
AedesElpeytonius,2,0,2,False,True,,1.5238408129920886,,0.0,
AedesFinlaya,64,,,False,False,,,,,
AedesFredwardsius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesGeorgecraigius,3,3,3,True,True,0.02820558131506598,0.02820558131506598,0.0,0.0,
AedesGeoskusea,10,0,10,False,True,,0.31210065648549534,,0.0,
AedesGilesius,2,0,2,False,True,,0.3304726010494821,,0.0,
AedesGymnometopa,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesHalaedes,3,2,3,True,True,0.14322287814189613,0.1928022550854323,0.0,0.001232808028197478,
AedesHimalaius,2,0,2,False,True,,0.14202019127964416,,0.0,
AedesHopkinsius,7,0,7,False,True,,0.12198509247045733,,0.07567069632452908,
AedesHowardina,34,0,34,False,True,,0.41087812512985566,,0.2418512585056759,
AedesHuaedes,3,0,3,False,True,,0.07311938713064887,,0.0,
AedesHulecoeteomyia,14,1,14,True,True,0.001000000001,0.16841142414961996,1.0000000010000002e-12,0.13555354178137247,
AedesIndusius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesIsoaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesJarnellius,5,3,5,True,True,0.07806886732217821,0.09282451852015998,0.0,0.0,
AedesJihlienius,3,0,3,False,True,,0.38700754650694474,,0.0,
AedesKenknightia,12,0,12,False,True,,0.4414491302441951,,0.0,
AedesKompia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLeptosomatomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLevua,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLewnielsenius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLorrainea,5,0,5,False,True,,0.32843920820171635,,0.0,
AedesLuius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesMacleaya,11,2,11,True,True,0.07250801546520001,0.17412447510078174,0.0,0.12623959860873277,
AedesMolpemyia,3,0,3,False,True,,0.8298454583207346,,0.0,
AedesMucidus,14,1,14,True,True,0.001000000001,0.314144876716848,1.0000000010000002e-12,0.3141185604801786,
AedesNeomelaniconion,28,0,28,False,True,,0.41271814551552083,,0.14566094395870974,
AedesNyctomyia,2,0,2,False,True,,0.08076216901560736,,0.0,
AedesOchlerotatus,200,,,False,False,,,,,
AedesParaedes,8,0,8,False,True,,0.1295555693507144,,0.0,
AedesPatmarksia,13,1,13,True,True,0.001000000001,0.17420008014512461,1.0000000010000002e-12,0.0,
AedesPaulianius,8,0,8,False,True,,1.0000000282819324,,1.0000000272819323,
AedesPetermattinglyius,5,0,5,False,True,,0.46236771278182714,,0.2944853505380347,
AedesPhagomyia,16,0,16,False,True,,0.3151481609030346,,0.0938595458205917,
AedesPolyleptiomyia,2,0,2,False,True,,0.2886609133681863,,0.0,
AedesProtomacleaya,39,4,39,True,True,0.1348934288231694,0.22083616872594544,0.0,0.12681457814213684,
AedesPseudalbuginosus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesPseudarmigeres,5,0,5,False,True,,0.14107847335575308,,0.004006883745350673,
AedesRampamyia,3,2,3,True,True,0.0369122326227242,0.04519125515304607,0.0,0.0,
AedesRhinoskusea,4,0,4,False,True,,0.2567676793065612,,0.0,
AedesSallumia,2,0,2,False,True,,0.47783370563228655,,0.0,
AedesScutomyia,9,0,9,False,True,,0.12193444410351331,,0.0,
AedesSkusea,4,1,4,True,True,0.001000000001,0.0708382231547637,1.0000000010000002e-12,0.028945143372004944,
AedesStegomyia,128,,,False,False,,,,,
AedesTanakaius,2,0,2,False,True,,0.16115295980486577,,0.0,
AedesTewarius,4,0,4,False,True,,0.3342753476240441,,0.0,
AedesVansomerenis,3,0,3,False,True,,0.11876679023079487,,0.0,
AedesZavortinkius,11,0,11,False,True,,0.1765501072556267,,0.0,
Armigeres,58,2,58,True,True,0.14651999220678696,0.2760762190660357,0.0,0.17397447905103305,
ArmigeresArmigeres,40,2,40,True,True,0.12848517749384952,0.16990145158880152,0.0,0.009161593588649309,
ArmigeresLeicesteria,18,0,18,False,True,,0.4250392479771399,,0.16966701536684523,
Eretmapodites,48,1,48,True,True,0.001000000001,0.1582956937614616,1.0000000010000002e-12,0.053888474807837004,
EretmapoditesEretmapodites,48,1,48,True,True,0.001000000001,0.1582956937614616,1.0000000010000002e-12,0.053888474807837004,
Haemagogus,28,2,28,True,True,0.09459149717101392,0.16336222782565932,0.0,0.07935489637648106,
HaemagogusConopostegus,4,1,4,True,True,0.001000000001,0.3782243775632451,1.0000000010000002e-12,0.287871052646303,
HaemagogusHaemagogus,24,1,24,True,True,0.001000000001,0.3115608987688214,1.0000000010000002e-12,0.2522635491248422,
Heizmannia,38,0,38,False,True,,0.2634053990921227,,0.021197788531467848,
HeizmanniaHeizmannia,38,0,38,False,True,,0.2634053990921227,,0.021197788531467848,
Opifex,2,1,2,True,True,0.001000000001,0.1502426027116933,1.0000000010000002e-12,0.0,
Opifex__subgenus__,2,1,2,True,True,0.001000000001,0.1502426027116933,1.0000000010000002e-12,0.0,
Psorophora,49,14,49,True,True,0.08151723818675818,0.12709018727546495,0.0,0.056749567431655115,
PsorophoraGrabhamia,16,6,16,True,True,0.07120162018356656,0.1875155001186057,0.0,0.1614639470936907,
PsorophoraJanthinosoma,23,5,23,True,True,0.08823313698967833,0.10504616346945198,0.0,0.00942232674875056,
PsorophoraPsorophora,10,3,10,True,True,0.06856422585964195,0.07608871816984007,0.0,0.0,
Udaya,3,0,3,False,True,,3.459269568350773,,0.0,
UdayaUdaya,3,0,3,False,True,,3.459269568350773,,0.0,
Verrallina,95,3,95,True,True,0.29764599018688376,0.29412459048004636,0.0,0.11816545878144137,
VerrallinaHarbachius,13,0,13,False,True,,0.43263766324393305,,0.0,
VerrallinaNeomacleaya,52,0,52,False,True,,0.28150528880384773,,0.014448608429547143,
VerrallinaVerrallina,30,3,30,True,True,0.2016107535850001,0.18251326629758774,0.0,0.05118524284210599,
Zeugnomyia,4,0,4,False,True,,0.6131114383945026,,0.0,
CulexAedinus,4,1,4,True,True,0.001000000001,0.8520854580201288,1.0000000010000002e-12,0.0,
CulexAfroculex,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAllimanta,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAnoedioporpa,12,0,12,False,True,,0.45682202945017286,,0.435472788650742,
CulexBarraudius,4,0,4,False,True,,0.288415815343247,,0.2884131380746186,
CulexBelkinomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexCarrollia,18,0,18,False,True,,0.35380215556749656,,0.19381761156610855,
CulexCulex,201,,,False,False,,,,,
CulexCuliciomyia,54,1,54,True,True,0.001000000001,0.3089314707222692,1.0000000010000002e-12,0.2679183671496524,
CulexEumelanomyia,77,0,77,False,True,,0.794373833828956,,0.5039488328975849,
CulexKitzmilleria,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLasiosiphon,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLophoceraomyia,112,2,112,True,True,0.24777926769838235,0.3931904997643414,0.0,0.32552384027334114,
CulexMaillotia,9,0,9,False,True,,1.0000000282819324,,1.0000000272819323,
CulexMelanoconion,160,,,False,False,,,,,
CulexMicraedes,8,2,8,True,True,0.24469763952450568,0.2130499427727539,0.0,0.11097927929222982,
CulexMicroculex,33,1,33,True,True,0.001000000001,0.19911176668515396,1.0000000010000002e-12,0.13127192050754205,
