node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings

AnophelesAnopheles,185,,,False,False,,,,,
AnophelesBaimaia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AnophelesCellia,225,22,225,True,True,0.5184515291822586,0.540537464344776,0.48934345981710153,0.5079041595096787,
AnophelesChristya,2,0,2,False,True,,0.49129706982986593,,0.0,
AnophelesKerteszia,12,1,12,True,True,0.001000000001,0.18441855043062746,1.0000000010000002e-12,0.18441771565105944,
AnophelesLophopodomyia,6,1,6,True,True,0.001000000001,0.07127324569597855,1.0000000010000002e-12,0.07127303512327529,
AnophelesNyssorhynchus,40,8,40,True,True,0.09315637412142212,0.10916038744139778,0.007549867585696832,0.007892340199962425,
AnophelesStethomyia,5,1,5,True,True,0.001000000001,0.06212964448440482,1.0000000010000002e-12,0.04646913740784196,
Bironella,8,0,8,False,True,,0.24526472662985596,,0.0,
BironellaBironella,2,0,2,False,True,,0.08184831149750327,,0.0,
Aedeomyiini,7,2,7,True,True,0.02081214539225031,0.04489640950677271,0.0,0.044896110873135414,
Aedeomyia,7,2,7,True,True,0.02081214539225031,0.04489640950677271,0.0,0.044896110873135414,
AedeomyiaAedeomyia,6,2,6,True,True,0.018629203596890853,0.06630466012021713,0.0,0.06630413646217394,
AedeomyiaLepiothauma,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Aedini,1257,122,1257,True,True,0.1632593725418691,0.2626800914534642,0.071633678334176,0.1813145422342738,
__TAXONOMIC_ROOT__,3563,259,3563,True,True,0.35404089569747826,0.4290164688306918,0.3096833302964832,0.38577872366779653,
Culicidae,3563,259,3563,True,True,0.35404089569747826,0.4290164688306918,0.3096833302964832,0.38577872366779653,
Anophelinae,489,51,489,True,True,0.3267271104550249,1.0000000282819324,0.3069198983149194,1.0000000272819323,
None,489,51,489,True,True,0.3267271104550249,1.0000000282819324,0.3069198983149194,1.0000000272819323,
Anopheles,476,49,476,True,True,0.31883616638506135,1.0000000282819324,0.292293004154851,1.0000000272819323,
BironellaBrugella,3,0,3,False,True,,0.18393643005632987,,0.0,
BironellaNeobironella,3,0,3,False,True,,0.5513222476008746,,0.0,
Chagasia,5,2,5,True,True,0.02529653923073038,0.12589057875320742,0.0,0.1258902669486877,
ChagasiaChagasia,5,2,5,True,True,0.02529653923073038,0.12589057875320742,0.0,0.1258902669486877,
Culicinae,3074,208,3074,True,True,0.31650749156972946,0.4121774116083809,0.2589474044229961,0.35923925888826974,
Aedes,932,,,False,False,,,,,
AedesAbraedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesAcartomyia,3,0,3,False,True,,0.2452496305916676,,0.0,
AedesAedes,12,1,12,True,True,0.001000000001,0.12160803021743513,1.0000000010000002e-12,0.0,
AedesAedimorphus,66,,,False,False,,,,,
AedesAlanstonea,2,0,2,False,True,,0.6334160341175925,,0.0,
AedesAlbuginosus,9,0,9,False,True,,0.2858907162489218,,0.09974242506260761,
AedesAyurakitia,2,0,2,False,True,,46.76813145590924,,0.0,
AedesAztecaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBelkinius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBifidistylus,2,0,2,False,True,,432.94385448145,,332.94385448145,
AedesBorichinda,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesBothaella,6,0,6,False,True,,0.8246708753477869,,0.0,
AedesBruceharrisonius,9,0,9,False,True,,0.48171369100555606,,0.35987701212493356,
AedesCancraedes,10,0,10,False,True,,0.4048823343671309,,0.4036064846939503,
AedesCatageiomyia,28,1,28,True,True,0.001000000001,0.10344815073291075,1.0000000010000002e-12,0.0,
AedesCatatassomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesChristophersiomyia,5,0,5,False,True,,0.2275334044748834,,0.0,
AedesCoetzeemyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesCollessius,9,0,9,False,True,,0.3611475702421061,,0.0,
AedesCornetius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesDahliana,3,1,3,True,True,0.001000000001,0.07884316098980858,1.0000000010000002e-12,0.04691603907112693,
AedesDanielsia,3,0,3,False,True,,0.26509714577125715,,0.0,
AedesDendroskusea,5,0,5,False,True,,0.06791916228255804,,0.007034991008929771,
AedesDiceromyia,8,2,8,True,True,0.08796041826824388,0.06765180034687637,0.0,0.0,
AedesDobrotworskyius,7,5,7,True,True,0.08417849136347792,0.0849762856776519,0.0,0.0,
AedesDownsiomyia,30,0,30,False,True,,0.5207072076997009,,0.4806324959172691,
AedesEdwardsaedes,3,0,3,False,True,,0.09397395109284225,,0.08714818953290505,
AedesElpeytonius,2,0,2,False,True,,6.465082947202915,,0.0,
AedesFinlaya,64,,,False,False,,,,,
AedesFredwardsius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesGeorgecraigius,3,3,3,True,True,0.02820558131506598,0.02820558131506598,0.0,0.0,
AedesGeoskusea,10,0,10,False,True,,0.2977506652148329,,0.0,
AedesGilesius,2,0,2,False,True,,0.05300760614776413,,0.0,
AedesGymnometopa,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesHalaedes,3,2,3,True,True,0.14322287814189613,0.16844476970150676,0.0,0.0,
AedesHimalaius,2,0,2,False,True,,4.7624255263465605,,0.0,
AedesHopkinsius,7,0,7,False,True,,0.414824700419872,,0.1871865971109958,
AedesHowardina,34,0,34,False,True,,0.42150735869497136,,0.24806135640443783,
AedesHuaedes,3,0,3,False,True,,0.5923956200204378,,0.0,
AedesHulecoeteomyia,14,1,14,True,True,0.001000000001,0.1370828516404502,1.0000000010000002e-12,0.08304701138890631,
AedesIndusius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesIsoaedes,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesJarnellius,5,3,5,True,True,0.07806886732217821,0.0709765401907175,0.0,0.0,
AedesJihlienius,3,0,3,False,True,,0.09540801044592101,,0.0,
AedesKenknightia,12,0,12,False,True,,0.33479568702951523,,0.0,
AedesKompia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLeptosomatomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLevua,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesLewnielsenius,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
AedesLorrainea,5,0,5,False,True,,1.0000000282819324,,1.0000000272819323,
AedesLuius,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesMacleaya,11,2,11,True,True,0.07250801546520001,0.21221742612718963,0.0,0.18269773545103624,
AedesMolpemyia,3,0,3,False,True,,0.2739671781707751,,0.0,
AedesMucidus,14,1,14,True,True,0.001000000001,0.09517009118840605,1.0000000010000002e-12,0.05179103715301639,
AedesNeomelaniconion,28,0,28,False,True,,0.355930552213574,,0.2911658912492364,
AedesNyctomyia,2,0,2,False,True,,0.48857934446711326,,0.0,
AedesOchlerotatus,200,,,False,False,,,,,
AedesParaedes,8,0,8,False,True,,0.20285124890320153,,0.15384164257463498,
AedesPatmarksia,13,1,13,True,True,0.001000000001,0.21360172655266102,1.0000000010000002e-12,0.18231670323740393,
AedesPaulianius,8,0,8,False,True,,0.38267801967326087,,0.38265131627598015,
AedesPetermattinglyius,5,0,5,False,True,,0.1442339775832042,,0.0,
AedesPhagomyia,16,0,16,False,True,,0.23036539398393077,,0.0,
AedesPolyleptiomyia,2,0,2,False,True,,0.4647216754513995,,0.0,
AedesProtomacleaya,39,4,39,True,True,0.1348934288231694,0.15128930231338342,0.0,0.0,
AedesPseudalbuginosus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
AedesPseudarmigeres,5,0,5,False,True,,0.13420860993574707,,0.0,
AedesRampamyia,3,2,3,True,True,0.0369122326227242,0.04657570881475565,0.0,0.0,
AedesRhinoskusea,4,0,4,False,True,,0.19145405998666556,,0.0,
AedesSallumia,2,0,2,False,True,,1.6070134253543016,,0.0,
AedesScutomyia,9,0,9,False,True,,0.1955804392471609,,0.0,
AedesSkusea,4,1,4,True,True,0.001000000001,0.13716028981631584,1.0000000010000002e-12,0.0,
AedesStegomyia,128,,,False,False,,,,,
AedesTanakaius,2,0,2,False,True,,0.8561416847415786,,0.0,
AedesTewarius,4,0,4,False,True,,1.0284211335061453,,0.0,
AedesVansomerenis,3,0,3,False,True,,0.14511353420052006,,0.12710102425387634,
AedesZavortinkius,11,0,11,False,True,,0.20709588008821375,,0.0,
Armigeres,58,2,58,True,True,0.14651999220678696,0.16493109566974964,0.0,0.0787551996709678,
ArmigeresArmigeres,40,2,40,True,True,0.12848517749384952,0.1460113953928475,0.0,0.04424540868264597,
ArmigeresLeicesteria,18,0,18,False,True,,0.15726083106850197,,0.05023489849193206,
Eretmapodites,48,1,48,True,True,0.001000000001,0.15124598293529887,1.0000000010000002e-12,0.03876367169657692,
EretmapoditesEretmapodites,48,1,48,True,True,0.001000000001,0.15124598293529887,1.0000000010000002e-12,0.03876367169657692,
Haemagogus,28,2,28,True,True,0.09459149717101392,0.09651235363084565,0.0,0.0,
HaemagogusConopostegus,4,1,4,True,True,0.001000000001,0.15873880574137575,1.0000000010000002e-12,0.0,
HaemagogusHaemagogus,24,1,24,True,True,0.001000000001,0.09342487816772739,1.0000000010000002e-12,0.0,
Heizmannia,38,0,38,False,True,,0.3124569559054838,,0.18616252566810132,
HeizmanniaHeizmannia,38,0,38,False,True,,0.3124569559054838,,0.18616252566810132,
Opifex,2,1,2,True,True,0.001000000001,1.9252659244795522,1.0000000010000002e-12,0.0,
Opifex__subgenus__,2,1,2,True,True,0.001000000001,1.9252659244795522,1.0000000010000002e-12,0.0,
Psorophora,49,14,49,True,True,0.08151723818675818,0.10700438298974303,0.0,0.025777207752919053,
PsorophoraGrabhamia,16,6,16,True,True,0.07120162018356656,0.1599415547084978,0.0,0.12387137722745234,
PsorophoraJanthinosoma,23,5,23,True,True,0.08823313698967833,0.10572309071968929,0.0,0.002672303078803134,
PsorophoraPsorophora,10,3,10,True,True,0.06856422585964195,0.06297197403613339,0.0,0.0,
Udaya,3,0,3,False,True,,0.3733567198532641,,0.0,
UdayaUdaya,3,0,3,False,True,,0.3733567198532641,,0.0,
Verrallina,95,3,95,True,True,0.29764599018688376,0.3622850708143094,0.0,0.24879802782352634,
VerrallinaHarbachius,13,0,13,False,True,,0.30556964390872243,,0.0,
VerrallinaNeomacleaya,52,0,52,False,True,,0.5092986071180765,,0.38536907902500833,
VerrallinaVerrallina,30,3,30,True,True,0.2016107535850001,0.15520280574968315,0.0,0.007074741580465791,
Zeugnomyia,4,0,4,False,True,,0.8540984191160323,,0.0,
CulexAedinus,4,1,4,True,True,0.001000000001,0.17819679570166327,1.0000000010000002e-12,0.0,
CulexAfroculex,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAllimanta,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexAnoedioporpa,12,0,12,False,True,,1.0000000282819324,,1.0000000272819323,
CulexBarraudius,4,0,4,False,True,,0.40929998088186104,,0.0,
CulexBelkinomyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexCarrollia,18,0,18,False,True,,0.7532801176105192,,0.0,
CulexCulex,201,,,False,False,,,,,
CulexCuliciomyia,54,1,54,True,True,0.001000000001,0.28600713238230163,1.0000000010000002e-12,0.18703947047174965,
CulexEumelanomyia,77,0,77,False,True,,1.0000000282819324,,1.0000000272819323,
CulexMicraedes,8,2,8,True,True,0.24469763952450568,0.3087229274844403,0.0,0.28316496748103687,
CulexMicroculex,33,1,33,True,True,0.001000000001,1.0000000282819324,1.0000000010000002e-12,1.0000000272819323,
CulexNeoculex,26,,,False,False,,,,,
CulexNicaromyia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexOculeomyia,19,2,19,True,True,0.166729725222924,0.28945850740666323,0.0,0.11824572780681376,
CulexKitzmilleria,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLasiosiphon,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
CulexLophoceraomyia,112,2,112,True,True,0.24777926769838235,0.31840873713982015,0.0,0.2567989418914391,
